date_admission,branch_id,enrollment,course,till_date,student_name,father_name,father_occupation,student_dob,gender,profile_image,address1,address2,student_state,student_district,student_phone,w_phone,student_email,student_status
2024-01-01,6,KTL2016012700015,6,2015-06-08,Dhruv Arora,Mr. Dhiraj Arora,developer,2002-08-20,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,dhruv.arora@gmail.com,running
2024-01-01,6,KTL2015090100009,3,2015-07-16,Ravinder Kaur,Mr. Kulwant singh,developer,2002-08-21,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ravinder.kaur@gmail.com,running
2024-01-01,6,KTL2015090100010,238,2015-08-03,Dinesh Kumar ,Mr. Ranjit Ram,developer,2002-08-22,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,dinesh.kumar@gmail.com,running
2024-01-01,6,KTL2015090100011,238,2015-08-03,Sahil Kalia,Mr. Sunil Dutt Kalia,developer,2002-08-23,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sahil.kalia@gmail.com,running
2024-01-01,6,KTL2015090100012,238,2015-08-08,Simranjit Singh,Mr. Sarban Singh,developer,2002-08-24,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,simranjit.singh@gmail.com,running
2024-01-01,6,KTL2015090100008,44,2015-08-26,Paramjit Kaur,Mr. Gurbax Singh,developer,2002-08-25,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,paramjit.kaur@gmail.com,running
2024-01-01,6,KTL2016012700014,6,2015-08-31,Shikha Srivastava,Mr. S.K Srivastava,developer,2002-08-26,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,shikha.srivastava@gmail.com,running
2024-01-01,6,KTL2016012700013,238,2015-09-15,Alka Satia,Mr. Rakesh Satia,developer,2002-08-27,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,alka.satia@gmail.com,running
2024-01-01,6,KTL2016060900019,238,2016-03-16,Arjod Singh,Mr. Balwant Singh ,developer,2002-08-28,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,arjod.singh@gmail.com,running
2024-01-01,6,KTL2016060900020,238,2016-03-24,Balraj Singh,Mr. Sardool Singh,developer,2002-08-29,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,balraj.singh@gmail.com,running
2024-01-01,6,KTL2016060900026,238,2016-04-01,Kirandeep,Mr. Ram Kumar,developer,2002-08-30,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,KTL2016060900026@gmail.com,running
